AccountCode,AccountName,PayElementName,ToolTypePayment,CabinetOfficeReturns
52241001,Other Goods/Services,NI Employer,NI Employer,Y
51131001,Basic Salary - Ministers,BIS Private Secretary,Basic Pay,Y
51111001,Salaries - Permanent UK Staff,BIS Basic Pay,Basic Pay,Y
51112001,Employer's Social Security Costs - Permanent UK Staff,NI Employer,NI Employer,Y
51113001,Employer's Pension Costs - Permanent UK Staff,BIS O ALPHA ERS OCP Contribution,Superannuation,Y
51114003,Covid 19 Allowances - Permanent UK Staff,Covid19 WFH Expenses Non Taxable,Do Not Use In Forecast,N (Taxable Recovery No Cost To Department)
52121009,Child Care,BIS Childcare Voucher Admin Fee,Do Not Use In Forecast,N
51113001,Employer's Pension Costs - Permanent UK Staff,BIS PTN LEGALGEN ERS OCP Contribution,NI Employer,Y
51113001,Employer's Pension Costs - Permanent UK Staff,BIS PTN Mini ASLC,NI Employer,Y
51114001,Allowances - Permanent UK Staff,BIS Temp Cover Supplement,Basic Pay,Only when Ongoing Date Confirmed
51114001,Allowances - Permanent UK Staff,BIS Enhancement Prog and Prjt Mgmt,Basic Pay,Y
51111001,Salaries - Permanent UK Staff,BIS Arrears Basic Pay,Do Not Use In Forecast,N
51111001,Salaries - Permanent UK Staff,GSSC OSP Deduction,Basic Pay,Y
51111001,Salaries - Permanent UK Staff,GSSC OSP Payment,Basic Pay,Y
51111001,Salaries - Permanent UK Staff,GSSC Statutory Sick Pay,Basic Pay,Y
51111001,Salaries - Permanent UK Staff,GSSC Career Break Leave,Basic Pay,Y
51111001,Salaries - Permanent UK Staff,BIS Non Consolidated Bonus Non Pen,Do Not Use In Forecast,N
51114001,Allowances - Permanent UK Staff,BIS Arrears Temp Cover Supplement,Do Not Use In Forecast,N
51111001,Salaries - Permanent UK Staff,GSSC Arrears OSP Deduction New,Do Not Use In Forecast,N
51111001,Salaries - Permanent UK Staff,GSSC Arrears OSP Payment New,Do Not Use In Forecast,N
51114001,Allowances - Permanent UK Staff,BIS Enhancement Analysts,Basic Pay,Y
51114001,Allowances - Permanent UK Staff,BIS Arrears Enhancement Analysts,Basic Pay,Y
51113001,Employer's Pension Costs - Permanent UK Staff,BIS O PREMIUM ERS OCP Contribution,Superannuation,Y
51114001,Allowances - Permanent UK Staff,BIS Salary Enhancement,Basic Pay,Y
51114001,Allowances - Permanent UK Staff,BIS Recr Resp Allowance Pen,Basic Pay,Y
